ID Livespace;Nazwa firmy;Tag
2653;Agro-Hurt;stoisko FM26 od Claude
2679;ALVENA Sp. z o.o.;stoisko FM26 od Claude
2755;Figiel Trade;stoisko FM26 od Claude
2770;Fructe;stoisko FM26 od Claude
2906;Makar bakalie;stoisko FM26 od Claude
2971;Polska Rzodkiewka;stoisko FM26 od Claude
2976;PPH Ewa Bis Sp.zoo;stoisko FM26 od Claude
2719;Cold Fresh Arkadiusz Zimny;stoisko FM26 od Claude
2642;ACTIV P.P.H.U./Fruit Family Sp. z o.o.;stoisko FM26 od Claude
2705;Bitem Group Sp. z o.o.;stoisko FM26 od Claude
2649;Agro Serwis International Sp. z o.o.;stoisko FM26 od Claude
43159;Poltava-Sad LTD;stoisko FM26 od Claude
2711;BWB PODLASIE Sp. z o.o.;stoisko FM26 od Claude
2704;Bio-Sense Ordowski Jacek;stoisko FM26 od Claude
2807;Gospodarstwo Ogrodnicze Michał Bogdan;stoisko FM26 od Claude
2933;Noris Sp.zoo, sp.k;stoisko FM26 od Claude
2689;Artfoods Sp. z o.o.;stoisko FM26 od Claude
2740;ELIZA FRUIT SP. Z O.O.;stoisko FM26 od Claude
2752;FALCON Adrian Babiński;stoisko FM26 od Claude
32203;Kalgrup;stoisko FM26 od Claude
2741;Enza Zaden Poland Sp z o.o.;stoisko FM26 od Claude
2872;Grupa Skowronki Sp. z o.o.;stoisko FM26 od Claude
3014;Spółdzielnia Pieczarka Siedlecka;stoisko FM26 od Claude
3066;W. Legutko Przedsiębiorstwo Handlowo-Nasienne Sp.zoo;stoisko FM26 od Claude
2855;Grupa Konary Sp. z o.o.;stoisko FM26 od Claude
2742;Euro Foods Polska Sp.zoo;stoisko FM26 od Claude
2819;Gospodarstwo rolne Kołodziejczak Józef;stoisko FM26 od Claude
2981;PPUH `AWEX` Spółka z o.o.;stoisko FM26 od Claude
2983;PRIMAVEGA sp. z o.o.Grupa Producentów Warzyw;stoisko FM26 od Claude
3078;ZPH Kilian Jan Kiliański;stoisko FM26 od Claude
2722;Cosmos Group Sp. z o.o.;stoisko FM26 od Claude
2809;Gospodarstwo Ogrodnicze Waldemar Bzówka;stoisko FM26 od Claude
2839;Gospodarstwo Warzywne Sławomir Postek;stoisko FM26 od Claude
2830;Gospodarstwo Rolno Ogrodnicze Jacek Ostrowit;stoisko FM26 od Claude
2666;Agrosad Sp. z o.o.;stoisko FM26 od Claude
2686;Applex Sp. o.o.;stoisko FM26 od Claude
2654;Agro-Jumal Sp. z o.o.;stoisko FM26 od Claude
2671;AK Fruit;stoisko FM26 od Claude
2674;Alco. Hurtowa sprzedaż owoców i warzyw;stoisko FM26 od Claude
2678;ALKAM Justyna Kamińska;stoisko FM26 od Claude
2691;AS TER AGRO;stoisko FM26 od Claude
2717;CIESIELSKI OWOCE-WARZYWA;stoisko FM26 od Claude
2724;Czarpol;stoisko FM26 od Claude
2734;ECO Grupa;stoisko FM26 od Claude
2744;EURO-PAPRYKA P. Myziak;stoisko FM26 od Claude
2745;EuroVeg Kamil Krasoń;stoisko FM26 od Claude
2753;FH Atos;stoisko FM26 od Claude
2775;FRUIT M.H. GRZYBOWSKI SP. J.;stoisko FM26 od Claude
2781;Fruitland;stoisko FM26 od Claude
2791;GARSAD;stoisko FM26 od Claude
2801;Gospodarstwo Ogrodnicze EKO-II;stoisko FM26 od Claude
2804;Gospodarstwo Ogrodnicze Łukasz Kopiński;stoisko FM26 od Claude
3040;Tomrol Sp. z o.o.;stoisko FM26 od Claude
2761;Frankort&Koning Polska Sp. z o.o.;stoisko FM26 od Claude
2788;G.P.O.i W. Polfarm Sp z.o.o;stoisko FM26 od Claude
3507;Cristobal Meseguer;stoisko FM26 od Claude
2792;Gava Polska Sp. z o.o.;stoisko FM26 od Claude
2858;Grupa Producentów Idealsad Sp.zo.o.;stoisko FM26 od Claude
2914;MAWI WARZYWA sp. z o.o.;stoisko FM26 od Claude
2944;OWB Sp. z o.o.;stoisko FM26 od Claude
3043;TOPVEG S.C.;stoisko FM26 od Claude
2701;Biegpol Grupa Producentów Grzybów;stoisko FM26 od Claude
2708;Botoma GRUPA PRODUCENTÓW OWOCÓW I WARZYW `BOTOMA` SP. Z  O.O.;stoisko FM26 od Claude
2945;Owoc Wysoczyn;stoisko FM26 od Claude
3026;SUN-SAD Sp. z o.o.;stoisko FM26 od Claude
3063;VIKTORIA sp. z o.o.;stoisko FM26 od Claude
3023;Stowarzyszenie Plantatorów Borówki Amerykańskiej;stoisko FM26 od Claude
2664;Agronom Berries;stoisko FM26 od Claude
2866;Grupa Producentów Owoców ZELSAD Sp. z o.o.;stoisko FM26 od Claude
7889;FRUNET S.L.;stoisko FM26 od Claude
21756;GREEN ORGANICS B.V.;stoisko FM26 od Claude
2662;Agrokordi Sp. z o.o.;stoisko FM26 od Claude
2777;Fruit-Group Sp. z o.o.;stoisko FM26 od Claude
2939;Oleris Sp. z o.o.;stoisko FM26 od Claude
3001;Sadpol 2 Sp.zoo;stoisko FM26 od Claude
2093;FRUTAS IBEROS S.L.;stoisko FM26 od Claude
2851;Greensfarm Sp. z o.o. (PIECZARKA);stoisko FM26 od Claude
2802;GOSPODARSTWO OGRODNICZE JANUSZ HUMELT;stoisko FM26 od Claude
3041;TOP-SAD sp. z o.o.;stoisko FM26 od Claude
3067;Wigant S.C Marcin Całka Artur Drąg;stoisko FM26 od Claude
3643;Special Fruit NV;stoisko FM26 od Claude
2852;Greenyard;stoisko FM26 od Claude
3075;Zakład Ogrodniczy Paczyna Cecylia Klimowicz;stoisko FM26 od Claude
2723;Cuple Group Sp. z o.o.;stoisko FM26 od Claude
2647;Agro Grupa Bonako;stoisko FM26 od Claude
2771;Fructipol;stoisko FM26 od Claude
2892;JW- Invest s.c. Szafrańska W. Silivonyuk Y.;stoisko FM26 od Claude
2909;Markie-Pol Handel Sp. z o.o.;stoisko FM26 od Claude
2963;Pieczarki Mazurskie (PIECZARKI);stoisko FM26 od Claude
2879;HAZERA Poland Sp. z o.o.;stoisko FM26 od Claude
2658;AGRO-POL PPHU ZBIGNIEW NOWACKI;stoisko FM26 od Claude
2665;Agropol. Export owoców i warzyw. Dobrzyńska J;stoisko FM26 od Claude
2668;Agrostar Sp. z o.o.;stoisko FM26 od Claude
2681;Amplus Sp.z o.o.;stoisko FM26 od Claude
2688;Ared;stoisko FM26 od Claude
2693;Avit Adam Rytel / P.P.H.U. DAS Adam Rytel;stoisko FM26 od Claude
2707;Borex-Ośko;stoisko FM26 od Claude
2730;Dragan Agrobiznes;stoisko FM26 od Claude
2737;EKO-SAD CZESŁAW MACIERZYŃSKI;stoisko FM26 od Claude
2763;Fresh Food Services/Dalboszek;stoisko FM26 od Claude
2772;FRUCTIS sp. z o.o.Wielkoplska Grupa Producentów Owoców;stoisko FM26 od Claude
2776;Fruit Trade Poland;stoisko FM26 od Claude
2780;Fruitino;stoisko FM26 od Claude
2793;Geofruit;stoisko FM26 od Claude
2845;GPOW Agron Sp.zoo;stoisko FM26 od Claude
2856;Grupa Producentów Chenczke-Janas;stoisko FM26 od Claude
2993;Rawona Jolanta Piórko, Rafał Piórko Sp. J.;stoisko FM26 od Claude
3005;Service4Green;stoisko FM26 od Claude
3010;SORTPAK s.c.;stoisko FM26 od Claude
3056;Vega World;stoisko FM26 od Claude
4146;Grupa Producentów Agros Sp. z o.o.;stoisko FM26 od Claude
2865;Grupa Producentów Owoców Witamina Sp.z o.o.;stoisko FM26 od Claude
32979;Sanllo Export SL;stoisko FM26 od Claude
8996;BRUNELLI DANIELE SRL;stoisko FM26 od Claude
3015;Spółdzielnia Producentów Warzyw i Owoców `Sielec`;stoisko FM26 od Claude
8094;THE NATURAL HAND;stoisko FM26 od Claude
2974;Poltoma Sp. z o.o.;stoisko FM26 od Claude
2899;Larex Fruit Sp. z o.o.;stoisko FM26 od Claude
43062;WORLD´S COCONUT TRADING SL;stoisko FM26 od Claude
3521;Famag E.M.Krzyżaniak;stoisko FM26 od Claude
2667;Agroserw;stoisko FM26 od Claude
7727;EARTHFRUCTIFERA CIA. LTDA.;stoisko FM26 od Claude
3578;Sofrupak;stoisko FM26 od Claude
3546;NNZ Sp. z o.o.;stoisko FM26 od Claude
3750;Growers United;stoisko FM26 od Claude
3071;WITABO Sp. z o.o.;stoisko FM26 od Claude
3753;Handelsmaatschappij Jan Oskam BV;stoisko FM26 od Claude
3847;Bratzler & Co. Gmbh;stoisko FM26 od Claude
2703;BIO-GARDEN PPHU Magdalena Koncewicz-Obszańska;stoisko FM26 od Claude
2817;Gospodarstwo Rolne Jacek Tarkowski;stoisko FM26 od Claude
2829;Gospodarstwo Rolno Ogrodnicze Agnieszka Kaźmierczak;stoisko FM26 od Claude
2927;Natura Sp. z o.o.;stoisko FM26 od Claude
2876;HAJDUK Grupa Producentów Pieczarek Sp. z o.o.;stoisko FM26 od Claude
2878;Handlopak;stoisko FM26 od Claude
2905;MĄCZKA Sp. z o.o.;stoisko FM26 od Claude
2930;Naturfrut;stoisko FM26 od Claude
2964;PilzFood;stoisko FM26 od Claude
3029;Swedeponic Polska sp.zoo;stoisko FM26 od Claude
34669;Fresh Factory Sp. z o.o.;stoisko FM26 od Claude
34638;Vicente Trapani S.A .;stoisko FM26 od Claude
4179;Berry Trade;stoisko FM26 od Claude
4034;Gasa Group Poland Sp.z o.o.;stoisko FM26 od Claude
3762;ROVEG FRUIT B.V.;stoisko FM26 od Claude
3834;Moldova Fruct;stoisko FM26 od Claude
2796;Good Fruit Krzysztof Harcęko;stoisko FM26 od Claude
2814;Gospodarstwo Rolne Bartłomiej Milczarek;stoisko FM26 od Claude
2826;Gospodarstwo Rolne Walczak Damian;stoisko FM26 od Claude
2685;Apple Fruit Sp. z o.o.;stoisko FM26 od Claude
2715;Chiquita Poland Sp. z o.o.;stoisko FM26 od Claude
2873;GRZYBMAR;stoisko FM26 od Claude
2885;Itum Sp. z o.o.;stoisko FM26 od Claude
33366;ANCI SAS;stoisko FM26 od Claude
2643;Agrar Chrzanów;stoisko FM26 od Claude
2700;Białuty Rolnicza Spółdzielnia Sp.zoo;stoisko FM26 od Claude
2768;FreshMazovia.com Sp. J.;stoisko FM26 od Claude
2803;Gospodarstwo Ogrodnicze Łęgajny Sp. z o.o.;stoisko FM26 od Claude
2843;GPOiW Księży Las - Agro centrum;stoisko FM26 od Claude
2862;Grupa producentów owoców i warzyw `WIGOR` Sp.z o.o;stoisko FM26 od Claude
2869;Grupa Producentów Warzyw `Kaliski Pomidor` Sp.z o.o.;stoisko FM26 od Claude
2890;Józefów Sad Sp. z o.o.;stoisko FM26 od Claude
2953;P.P.H.U. BALTONA Marciniak Robert;stoisko FM26 od Claude
3004;SEMINIS Bayer Crop Science;stoisko FM26 od Claude
3006;SGPO Szeliga;stoisko FM26 od Claude
3016;Spółdzielnia Sadownicza POLSAD w Lewiczynie;stoisko FM26 od Claude
3060;Vegro Warzywa Groblewskich Sp. z o.o.;stoisko FM26 od Claude
32144;Vojvodina Development Agency;stoisko FM26 od Claude
4018;Amigo Plant BV;stoisko FM26 od Claude
2641;AAGRO Sp. z o.o.;stoisko FM26 od Claude
2702;Bimaro Sp. z o.o.;stoisko FM26 od Claude
34679;Gospodarstwo Rolne Jacek Wąwoźny;stoisko FM26 od Claude
34645;Hispa Group Spain sl;stoisko FM26 od Claude
