Nazwa;Email;Telefon;WWW;NIP;Kraj;Miasto;Tag
Prima 2000 Group;info@primagroup.pl;486674718;http://www.prima2000.pl;;Polska;Grójec;stoisko FM26 od Claude
LUVEGA sp. z o.o.;luvega@op.pl;694 481 672;www.luvega.pl;;Polska;Gniewkowo;stoisko FM26 od Claude
WILGA FRUIT SP. Z O.O.;info@wilgafruit.pl;508064416;http://www.wilgafruit.pl;;Polska;Sobienie Jeziory;stoisko FM26 od Claude
Nature`s Produce Sp. z o.o.;sales@naturesproduce.pl;726586500;;;Polska;Drwalew;stoisko FM26 od Claude
Grupa Gaik Sp. z o.o.;handlowy@grupagaik.eu;531 944 007;;;Polska;Pniewy;stoisko FM26 od Claude
Spółdzielcza Grupa Producentów Owoców `Nasz Sad`;biuro@naszsad.pl;697299500;;;Polska;Jasieniec;stoisko FM26 od Claude
Agro-Max Sp. J.;pawel.agromax@gmail.com;503 156 883;;;Polska;Orońsko;stoisko FM26 od Claude
AK Mierzwa Sp.zoo;luk.rachwal@gmail.com;501274724;;;Polska;Wawrzeńczyce;stoisko FM26 od Claude
DAPS Sp. z o.o.;damian@daps.pl;22 721-57 26;;;Polska;Ożarów Mazowiecki;stoisko FM26 od Claude
F.H.U. Rozwój;info@fhurozwoj.pl;+48607 387 766;;;Polska;Brwinów;stoisko FM26 od Claude
Fruit Garden;;601 638-887;http://www.fruitgarden.com.pl;;Polska;Sompolno;stoisko FM26 od Claude
World Trade Tomasz Biernacki;magazyn@wttb.pl;;;;Polska;Warszawa;stoisko FM26 od Claude
VegaRol;vegarol2@wp.pl;+48 666 839 101;;;Polska;Skalbmierz;stoisko FM26 od Claude
VegFruit;biuro@vegfruit.pl;+48 795 277 131;www.vegfruit.pl;;Polska;Koniusza;stoisko FM26 od Claude
Agro-Hurt;agro.hurt.sprzedaz@gmail.com;692 122- 042;;;Polska;Przytyk;stoisko FM26 od Claude
ALVENA Sp. z o.o.;robert@alvena.pl;507 072 654;;;Polska;Garwolin;stoisko FM26 od Claude
Figiel Trade;import@figieltrade.pl;665 002 516;;;Polska;Nowy Sącz;stoisko FM26 od Claude
Fructe;biuro@fructe.pl;609 743 287;;;Polska;Pleszew;stoisko FM26 od Claude
Makar bakalie;l.cichon@makar.pl;607 627 662;;;Polska;Katowice;stoisko FM26 od Claude
Polska Rzodkiewka;biuro@rzodkiewka.eu;601058990;www.rzodkiewka.eu;;Polska;Słotwina;stoisko FM26 od Claude
PPH Ewa Bis Sp.zoo;marketing@ewabis.com.pl;668005030;http://www.ewabis.com.pl;;Polska;Warszawa;stoisko FM26 od Claude
Cold Fresh Arkadiusz Zimny;;;;;Polska;Iwanowice;stoisko FM26 od Claude
ACTIV P.P.H.U./Fruit Family Sp. z o.o.;activ@activ.com.pl;692487838;;;Polska;Belsk Duży;stoisko FM26 od Claude
Bitem Group Sp. z o.o.;info@bitem-group.com;512 058 558;;;Polska;Warszawa;stoisko FM26 od Claude
Agro Serwis International Sp. z o.o.;agroserwisinternational@wp.pl;510 270 613;;;Polska;Myślino;stoisko FM26 od Claude
Poltava-Sad LTD;Vitaliy.Shtanko@uventa.co.ua;380505000000;https://www.carrot.in.ua;;Ukraina;;stoisko FM26 od Claude
BWB PODLASIE Sp. z o.o.;biuro@bwbpodlasie.pl;519333208;www.bwbpodlasie.pl;;Polska;Siemiatycze;stoisko FM26 od Claude
Bio-Sense Ordowski Jacek;;;;;Polska;Łęczna;stoisko FM26 od Claude
Gospodarstwo Ogrodnicze Michał Bogdan;biuro@ekobogdan.pl;;;;Polska;Mielec;stoisko FM26 od Claude
Noris Sp.zoo, sp.k;sales2.r@grzyby.com;;;;Polska;Drawski Młyn;stoisko FM26 od Claude
Artfoods Sp. z o.o.;witold.hajduk@artfoods.com.pl;602641079;30-798;;Polska;\''>Holandia, Włochy, Hiszpania, Francja, Ukraina.&nbsp;stoisko FM26 od Claude
ELIZA FRUIT SP. Z O.O.;elizafruit@elizafruit.pl;227216100;;;Polska;Warszawa;stoisko FM26 od Claude
FALCON Adrian Babiński;a.babinski@garlic.com.pl;691690662;;;Polska;Chorzów;stoisko FM26 od Claude
Kalgrup;kalgrup@kalgrup.pl;48 84 661 17 21;https://kalgrup.pl/;;Polska;;stoisko FM26 od Claude
Enza Zaden Poland Sp z o.o.;biuro@enzazaden.pl;+48 22 649 52 67;https://www.enzazaden.com/pl;;Polska;Warszawa;stoisko FM26 od Claude
Grupa Skowronki Sp. z o.o.;grupaskowronki@gmail.com;607 659 566;;;Polska;Belsk Duży;stoisko FM26 od Claude
Spółdzielnia Pieczarka Siedlecka;info@pieczarkasiedlecka.pl;600 451 146;;;Polska;Suchożebry;stoisko FM26 od Claude
W. Legutko Przedsiębiorstwo Handlowo-Nasienne Sp.zoo;jadwiga.ostrowska@legutko.com.pl;(65) 548 28 12;;;Polska;Jutrosin;stoisko FM26 od Claude
Grupa Konary Sp. z o.o.;grupakonary@grupakonary.pl;504 215 025;www.agrokonary.com.pl;;Polska;Warka;stoisko FM26 od Claude
Euro Foods Polska Sp.zoo;info@eurofoods.com.pl;+48 22 628 93 24;;;Polska;Warszawa;stoisko FM26 od Claude
Gospodarstwo rolne Kołodziejczak Józef;;438293262;;;Polska;Błaszki;stoisko FM26 od Claude
PPUH `AWEX` Spółka z o.o.;awex@awex-pl.pl;601536499;;;Polska;Nowe Skalmierzyce;stoisko FM26 od Claude
PRIMAVEGA sp. z o.o.Grupa Producentów Warzyw;sekretariat@primavega.com.pl;233067000;www.primavega.com.pl;;Polska;Naruszewo;stoisko FM26 od Claude
ZPH Kilian Jan Kiliański;zphkilian@gmail.com;514 015 288;;;Polska;Dwikozy;stoisko FM26 od Claude
Cosmos Group Sp. z o.o.;cosmos.group.pl@gmail.com;48 600103339;;;Polska;Warszawa;stoisko FM26 od Claude
Gospodarstwo Ogrodnicze Waldemar Bzówka;;;;;Polska;Święcice;stoisko FM26 od Claude
Gospodarstwo Warzywne Sławomir Postek;;;;;Polska;Potworów;stoisko FM26 od Claude
Gospodarstwo Rolno Ogrodnicze Jacek Ostrowit;;;www.ostrowit.pl;;Polska;Kamieńsk;stoisko FM26 od Claude
Agrosad Sp. z o.o.;agrosad@agrosad.pl;+48 43 829 09 10;www.agrosad.pl;;Polska;Błaszki;stoisko FM26 od Claude
Applex Sp. o.o.;info@applex.pl;605330433;;;Polska;Sadkowice;stoisko FM26 od Claude
Agro-Jumal Sp. z o.o.;marketing@agrojumal.com.pl;508343843;;;Polska;Sieradz;stoisko FM26 od Claude
AK Fruit;akfruit@wp.pl;666038797;;;Polska;Warszawa;stoisko FM26 od Claude
Alco. Hurtowa sprzedaż owoców i warzyw;alco.biuro@wp.pl;600 403 401;;;Polska;Maciejowice;stoisko FM26 od Claude
ALKAM Justyna Kamińska;tomasz.kaminski@alkamtrade.com.pl;694 291 202;;;Polska;Kamionki;stoisko FM26 od Claude
AS TER AGRO;biuro@asteragro.pl;604142170;;;Polska;Błonie;stoisko FM26 od Claude
CIESIELSKI OWOCE-WARZYWA;gosp_marianka@wp.pl;608 511 191;;;Polska;Strzelce;stoisko FM26 od Claude
Czarpol;czarpol@czarpol.pl;22 724 16 40;;;Polska;Grodzisk Mazowiecki;stoisko FM26 od Claude
ECO Grupa;jskoneczny@ececofruit.com, p.zalewski@ecogrupa.pl;+48696 474 747;;;Polska;Belsk Duży;stoisko FM26 od Claude
EURO-PAPRYKA P. Myziak;europapryka@op.pl, pawel.myziak@op.pl;601260254;;;Polska;Wrzeszczów;stoisko FM26 od Claude
EuroVeg Kamil Krasoń;biuro@euroveg.pl;605607111;;;Polska;Wola Krzysztoporska;stoisko FM26 od Claude
FH Atos;kaleta_m@op.pl;602 375 947;;;Polska;Radom;stoisko FM26 od Claude
FRUIT M.H. GRZYBOWSKI SP. J.;mgfruit@world.pl;601 330 832;;;Polska;Szczecin;stoisko FM26 od Claude
Fruitland;fruitland@fruitland.pl;+48 602-364-773;;;Polska;Sochaczew;stoisko FM26 od Claude
GARSAD;garsad@op.pl;660 785 221;;;Polska;Choceń;stoisko FM26 od Claude
Gospodarstwo Ogrodnicze EKO-II;biuro@ekobogdan.pl;602554468;;;Polska;Mielec;stoisko FM26 od Claude
Gospodarstwo Ogrodnicze Łukasz Kopiński;lukasz.kopinski@wp.pl;515 141 715;;;Polska;Nałęczów;stoisko FM26 od Claude
Tomrol Sp. z o.o.;biuro@tomrol.com, antoni@tomrol.com;601 057 371;;;Polska;Tomaszów Lubelski;stoisko FM26 od Claude
Frankort&Koning Polska Sp. z o.o.;michal@frankort.pl;606815552;;;Polska;Kraków;stoisko FM26 od Claude
G.P.O.i W. Polfarm Sp z.o.o;pgulczynski@polfarm.com, mgulczynski@polfarm.com;604444505;www.polfarm.com;;Polska;Chwaszczyno;stoisko FM26 od Claude
Cristobal Meseguer;choinski@cmsa.es;887686868;;;Polska;;stoisko FM26 od Claude
Gava Polska Sp. z o.o.;gmahdal@gavagrup.com;506 547 078;;;Polska;Ożarów Mazowiecki;stoisko FM26 od Claude
Grupa Producentów Idealsad Sp.zo.o.;handel@idealsad.pl;666858275;;;Polska;Rybno;stoisko FM26 od Claude
MAWI WARZYWA sp. z o.o.;ewa.matejka@gmail.com;606138749;;;Polska;Baborów;stoisko FM26 od Claude
OWB Sp. z o.o.;info@owb.com.pl;48 54 236 64 73;;;Polska;Choceń;stoisko FM26 od Claude
TOPVEG S.C.;;;;;Polska;;stoisko FM26 od Claude
Biegpol Grupa Producentów Grzybów;biegpol@biegpol.pl, m.bieganska@biegpol.pl;683476800;;;Polska;Wolsztyn;stoisko FM26 od Claude
Botoma GRUPA PRODUCENTÓW OWOCÓW I WARZYW `BOTOMA` SP. Z  O.O.;botoma@op.pl;438290618;;;Polska;Błaszki;stoisko FM26 od Claude
Owoc Wysoczyn;info@owocwysoczyn.pl;606426154;;;Polska;Sobienie;stoisko FM26 od Claude
SUN-SAD Sp. z o.o.;sunsad@sunsad.pl, marcin.stasiak@sunsad.pl;486615083;www.sunsad.pl;;Polska;Chynów k. Grójca;stoisko FM26 od Claude
VIKTORIA sp. z o.o.;info.viktoria@o2.pl;691 411 268;http://www.grupaviktoria.pl/;;Polska;Warka;stoisko FM26 od Claude
Stowarzyszenie Plantatorów Borówki Amerykańskiej;ireneuszkomorowski@o2.pl;;;;Polska;;stoisko FM26 od Claude
Agronom Berries;info@agronomberries.pl;504189089;http://www.agronomberries.pl;;Polska;Sosnowica;stoisko FM26 od Claude
Grupa Producentów Owoców ZELSAD Sp. z o.o.;biuro@zelsad.pl;508328042;;;Polska;Tęgoborze;stoisko FM26 od Claude
FRUNET S.L.;frunet@frunet.net;95-2527510;www.frunet.net;;Hiszpania;Algarrobo;stoisko FM26 od Claude
GREEN ORGANICS B.V.;jan@greenorganics.nl;31321385340;www.greenorganics.nl;;Holandia;Dronten;stoisko FM26 od Claude
Agrokordi Sp. z o.o.;biesiada@agrokordi.com;601585659;;;Polska;Kalisz;stoisko FM26 od Claude
Fruit-Group Sp. z o.o.;biuro@fruitgroup.pl;483202028;www.fruitgroup.pl;;Polska;Błędów;stoisko FM26 od Claude
Oleris Sp. z o.o.;p.gajdemski@oleris.pl;603662217;;;Polska;Zławieś Wielka;stoisko FM26 od Claude
Sadpol 2 Sp.zoo;sekretariat@sadpol.com.pl;;;;Polska;Goszczyn;stoisko FM26 od Claude
FRUTAS IBEROS S.L.;comercial@frutasiberos.com;+34 1296215;;;Hiszpania;VALENCIA;stoisko FM26 od Claude
Greensfarm Sp. z o.o. (PIECZARKA);sales@greensfarm.pl;+48 607 740 548;;;Polska;Łomazy;stoisko FM26 od Claude
GOSPODARSTWO OGRODNICZE JANUSZ HUMELT;gohumelt@gmail.com;500 007 489;;;Polska;OPATÓWEK;stoisko FM26 od Claude
TOP-SAD sp. z o.o.;top-sad@top-sad.pl;793909797;http://www.top-sad.pl/;;Polska;Belsk Duży;stoisko FM26 od Claude
Wigant S.C Marcin Całka Artur Drąg;wigant@op.pl;691 726 604;;;Polska;;stoisko FM26 od Claude
Special Fruit NV;events@specialfruit.be;3233170660;www.specialfruit.com;;Belgia;Meer;stoisko FM26 od Claude
Greenyard;sales@greenyardlogistics.pl;691414109;;;Polska;Żabia Wola;stoisko FM26 od Claude
Zakład Ogrodniczy Paczyna Cecylia Klimowicz;biuro@klimowicz.pl;322334090;;;Polska;Pyskowice, Paczyna;stoisko FM26 od Claude
Cuple Group Sp. z o.o.;sprzedaz@cuple.pl;607 163 580;www.cuple.pl;;Polska;Bełżyce;stoisko FM26 od Claude
Agro Grupa Bonako;biuro@bonako.pl, biuro@agrogrupa.com;603 852 918;;;Polska;Koniusza;stoisko FM26 od Claude
Fructipol;fructipol@o2.pl;483313236;http://fructi.pl/;;Polska;Ożarów Mazowiecki;stoisko FM26 od Claude
JW- Invest s.c. Szafrańska W. Silivonyuk Y.;jw-invest@wp.pl;508 238 980;;;Polska;Siedlce;stoisko FM26 od Claude
Markie-Pol Handel Sp. z o.o.;marketing@czosnek-dymka.pl;605 997 400;;;Polska;Łódź;stoisko FM26 od Claude
Pieczarki Mazurskie (PIECZARKI);biuro@pieczarkimazurskie.pl;89 742 37 30;;;Polska;Mrągowo;stoisko FM26 od Claude
HAZERA Poland Sp. z o.o.;;;;;Polska;Warszawa;stoisko FM26 od Claude
AGRO-POL PPHU ZBIGNIEW NOWACKI;biuro@agro-pol.pl;486136286;;;Polska;Radzanów 53;stoisko FM26 od Claude
Agropol. Export owoców i warzyw. Dobrzyńska J;info.agropol@o2.pl;486644988;;;Polska;Mogielnica;stoisko FM26 od Claude
Agrostar Sp. z o.o.;jacek@grupaagrostar.pl;791 791 285;;;Polska;Grójec;stoisko FM26 od Claude
Amplus Sp.z o.o.;maciej.skrzydlewski@amplusfoods.com;+48 12 6203450;;;Polska;Koniusza;stoisko FM26 od Claude
Ared;ared@ared.com.pl;486 635 043;;;Polska;Mogielnica;stoisko FM26 od Claude
Avit Adam Rytel / P.P.H.U. DAS Adam Rytel;justyna.rytel@avit.com.pl;665111991;;;Polska;Załuski;stoisko FM26 od Claude
Borex-Ośko;fhborex@wp.pl;(0-22) 721 59 05;;;Polska;Jeruzal;stoisko FM26 od Claude
Dragan Agrobiznes;draganhandel@o2.pl;693 565 424;;;Polska;Lublin;stoisko FM26 od Claude
EKO-SAD CZESŁAW MACIERZYŃSKI;info@ekosady.pl, skup@ekosady.pl;486613855;;;Polska;Jasieniec;stoisko FM26 od Claude
Fresh Food Services/Dalboszek;marcin@ffs.com.pl;506 124 436;;;Polska;Warszawa;stoisko FM26 od Claude
FRUCTIS sp. z o.o.Wielkoplska Grupa Producentów Owoców;wgpo.fructis@op.pl;63 220-52-27;http://www.fructis.info/;;Polska;Sompolno;stoisko FM26 od Claude
Fruit Trade Poland;gawrys.jadwiga@gmail.com;601 406 967;;;Polska;Kleszczów;stoisko FM26 od Claude
Fruitino;marcin.pietrzak@fruitino.pl;506 818 531;;;Polska;Rojewo;stoisko FM26 od Claude
Geofruit;geofruit@gmail.com;227215998;;;Polska;Ożarów Mazowiecki;stoisko FM26 od Claude
GPOW Agron Sp.zoo;agron2011@wp.pl;602 152 945;;;Polska;Toruń;stoisko FM26 od Claude
Grupa Producentów Chenczke-Janas;biuro@chenczke.pl;605 606 637;;;Polska;Blizanów;stoisko FM26 od Claude
Rawona Jolanta Piórko, Rafał Piórko Sp. J.;rawona@pieczarki.net.pl;604085562;;;Polska;Pszczyna;stoisko FM26 od Claude
Service4Green;rafal.kosinski@service4green.pl;502 085 489;;;Polska;;stoisko FM26 od Claude
SORTPAK s.c.;sortpak@sortpak.pl;502277227;;;Polska;Warka;stoisko FM26 od Claude
Vega World;biuro@vegaworld.pl;695 126 082;http://vegaworld.pl;;Polska;Żelazków;stoisko FM26 od Claude
Grupa Producentów Agros Sp. z o.o.;biuro.agros@gs-agros.com;604 163 114;https://www.bimibroccoli.co.uk/;;Polska;Inowrocław;stoisko FM26 od Claude
Grupa Producentów Owoców Witamina Sp.z o.o.;biuro@witamina.org;603 385 879;;;Polska;Biała;stoisko FM26 od Claude
Sanllo Export SL;info@sanlloexport.com;34603428652;http://www.sanlloexport.com;;Hiszpania;;stoisko FM26 od Claude
BRUNELLI DANIELE SRL;info@gruppobrunelli.it;547303253;www.gruppobrunelli.it;;Włochy;CESENA;stoisko FM26 od Claude
Spółdzielnia Producentów Warzyw i Owoców `Sielec`;spsielec@wp.pl;509832180;;;Polska;Skalbmierz;stoisko FM26 od Claude
THE NATURAL HAND;info@thenaturalhand.com;671-059263;http://www.thenaturalhand.com;;Hiszpania;;stoisko FM26 od Claude
Poltoma Sp. z o.o.;pomidorykudas@gmail.com;601304228;;;Polska;Żelazków;stoisko FM26 od Claude
Larex Fruit Sp. z o.o.;office@larexfruit.pl;506 116 670;;;Polska;Lubiczów;stoisko FM26 od Claude
WORLD´S COCONUT TRADING SL;hola@genuinecoconut.com;638-962519;http://www.genuinecoconut.com;;Hiszpania;;stoisko FM26 od Claude
Famag E.M.Krzyżaniak;export@famag.pl;516675100;;;Polska;Poniec;stoisko FM26 od Claude
Agroserw;kozietuly@agroserw.com.pl;;;;Polska;Mogielnica;stoisko FM26 od Claude
EARTHFRUCTIFERA CIA. LTDA.;info@efructifera.com;59399984084535;https://efructifera.com/;;Ekwador;;stoisko FM26 od Claude
Sofrupak;sofrupak@sofrupak.com;48601918671;http://sofrupak.com/;;Polska;Wola Krzysztoporska;stoisko FM26 od Claude
NNZ Sp. z o.o.;info@nnz.pl;48323013045;;;Polska;PRUDNIK;stoisko FM26 od Claude
Growers United;info@growersunited.nl;31174238000;http://www.growersunited.nl;;Holandia;Maasdijk;stoisko FM26 od Claude
WITABO Sp. z o.o.;witabogrupa@wp.pl;723 610 130;;;Polska;Urzędów,;stoisko FM26 od Claude
Handelsmaatschappij Jan Oskam BV;kees@janoskam.nl;31302320415;www.janoskam.nl;;Holandia;Vleuten;stoisko FM26 od Claude
Bratzler & Co. Gmbh;ker@bratzler.com;+49 721 961 85 22;http://www.bratzler.com;;Niemcy;Karlsruhe;stoisko FM26 od Claude
BIO-GARDEN PPHU Magdalena Koncewicz-Obszańska;info@bio-garden.pl;791 444 070;http://www.bio-garden.pl;;Polska;Tarnogród;stoisko FM26 od Claude
Gospodarstwo Rolne Jacek Tarkowski;jacek.tarkowski@onet.eu;504265584;;;Polska;Żukowice;stoisko FM26 od Claude
Gospodarstwo Rolno Ogrodnicze Agnieszka Kaźmierczak;kazmierczak.pomidory@op.pl;501 407-111;;;Polska;Kalisz;stoisko FM26 od Claude
Natura Sp. z o.o.;biuro@natura.kalisz.pl;535771566;;;Polska;Kalisz;stoisko FM26 od Claude
HAJDUK Grupa Producentów Pieczarek Sp. z o.o.;sprzedaz@hajduk.pl;+48 68 356 72 42;www.hajduk.pl;;Polska;Sława;stoisko FM26 od Claude
Handlopak;rgiza@handlopak.pl;502 087 853;;;Polska;Warka;stoisko FM26 od Claude
MĄCZKA Sp. z o.o.;maczka.maciej@wp.pl;601 936 870;http://www.maczka.pl;;Polska;Wawrzeńczyce 113;stoisko FM26 od Claude
Naturfrut;naturfrut21@gmail.com;531 024 454;;;Polska;Radom;stoisko FM26 od Claude
PilzFood;phpilze@o2.pl;505966759;;;Polska;Międzyrzec Podlaski;stoisko FM26 od Claude
Swedeponic Polska sp.zoo;kontakt@baziolka.pl;+48 22 755 79 79;;;Polska;Grodzisk Maz;stoisko FM26 od Claude
Fresh Factory Sp. z o.o.;owoce@freshfactory.pl;660 660 160;;;Polska;Gdynia;stoisko FM26 od Claude
Vicente Trapani S.A .;tra@tra.pl;;www.tra.pl;;Polska;;stoisko FM26 od Claude
Berry Trade;SANDRA@BERRY-TRADE.COM;692 640 720;https://www.berry-trade.com/;;Polska;Warszawa;stoisko FM26 od Claude
Gasa Group Poland Sp.z o.o.;mma@gasagroup.com;;;;Polska;Warszawa;stoisko FM26 od Claude
ROVEG FRUIT B.V.;contact@roveg.nl;3431180635700;www.roveg.nl;;Holandia;Waddinxveen;stoisko FM26 od Claude
Moldova Fruct;info@moldovafruct.md;tel:+373 22 22 30 05;http://www.moldovafruct.md;;Mołdawia;;stoisko FM26 od Claude
Good Fruit Krzysztof Harcęko;;;;;Polska;Błonie;stoisko FM26 od Claude
Gospodarstwo Rolne Bartłomiej Milczarek;bmilczarek@wp.pl;;;;Polska;Sochaczew;stoisko FM26 od Claude
Gospodarstwo Rolne Walczak Damian;walczakd816@gmail.com;;;;Polska;Brzozów Nowy;stoisko FM26 od Claude
Apple Fruit Sp. z o.o.;;;;;Polska;Sompolno;stoisko FM26 od Claude
Chiquita Poland Sp. z o.o.;scyganek@chiquita.com;605 083 417;;;Polska;Kraków;stoisko FM26 od Claude
GRZYBMAR;joannaleszko@grzybmar.pl;+48 61 44 33 404;;;Polska;Wielichowo;stoisko FM26 od Claude
Itum Sp. z o.o.;sekretariat@itum.com.pl;508 339 539;;;Polska;Wodzisław Śląski;stoisko FM26 od Claude
ANCI SAS;sales.europe@anciglobal.com;33442277624;www.anciglobal.com;;Francja;Aix en Provence;stoisko FM26 od Claude
Agrar Chrzanów;pismola1@gmail.com;603 120 032;;;Polska;Kobieżyce Chrzanów;stoisko FM26 od Claude
Białuty Rolnicza Spółdzielnia Sp.zoo;zamowienia@bialuty.com.pl;227254451;;;Polska;Błonie;stoisko FM26 od Claude
FreshMazovia.com Sp. J.;biuro@fm.agro.pl;486670012;http://freshmazovia.com;;Polska;Warka;stoisko FM26 od Claude
Gospodarstwo Ogrodnicze Łęgajny Sp. z o.o.;sekretariat@legajny.pl;89 514 44 31;;;Polska;Łęgajny;stoisko FM26 od Claude
GPOiW Księży Las - Agro centrum;sekretariat@agrocentrum.net;77 405 68 00;;;Polska;Olszowa;stoisko FM26 od Claude
Grupa producentów owoców i warzyw `WIGOR` Sp.z o.o;dorota.sliwinska@wigor.org.pl;607843697;;;Polska;Górzno;stoisko FM26 od Claude
Grupa Producentów Warzyw `Kaliski Pomidor` Sp.z o.o.;biuro@kaliski-pomidor.pl;507 929 330;;;Polska;Blizanów;stoisko FM26 od Claude
Józefów Sad Sp. z o.o.;r.puk@jozefowsad.pl;783 784 715;;;Polska;Józefów nad Wisłą;stoisko FM26 od Claude
P.P.H.U. BALTONA Marciniak Robert;info@baltonawarzywa.pl;692709426;;;Polska;Pleszew;stoisko FM26 od Claude
SEMINIS Bayer Crop Science;marta.jesionek@bayer.com;692569889;;;Polska;Warszawa;stoisko FM26 od Claude
SGPO Szeliga;szeliga.mateusz@gmail.com;509432611;;;Polska;Żurawica;stoisko FM26 od Claude
Spółdzielnia Sadownicza POLSAD w Lewiczynie;polsad@spolsad.pl;510149643;;;Polska;Belsk Duży;stoisko FM26 od Claude
Vegro Warzywa Groblewskich Sp. z o.o.;sszczepanski@vegro.pl;602 196 280;;;Polska;;stoisko FM26 od Claude
Vojvodina Development Agency;office@rav.org.rs;;https://rav.org.rs/;;Serbia;;stoisko FM26 od Claude
Amigo Plant BV;verkoop@amigoplant.nl;;;;Holandia;Heerhugowaard;stoisko FM26 od Claude
AAGRO Sp. z o.o.;aagro.handel@gmail.com;48606544545;;;Polska;Ożarów Mazowiecki;stoisko FM26 od Claude
Bimaro Sp. z o.o.;ales.dekan@bimaro.pl;48895330378;;;Polska;Cieszyn;stoisko FM26 od Claude
Gospodarstwo Rolne Jacek Wąwoźny;wawozny@wawozny.pl;604192315;wawozny.pl;;Polska;Charsznica;stoisko FM26 od Claude
Hispa Group Spain sl;hispa@hispagroup.com;+34 968355818;www.hispagroup.com;;Polska;;stoisko FM26 od Claude
